/Users/jbarrick/src/satellite-plasmid/repeats/satellite-left.fa /Users/jbarrick/src/satellite-plasmid/repeats/satellite-right.fa
NUCMER

[S1]	[E1]	[S2]	[E2]	[LEN 1]	[LEN 2]	[% IDY]	[TAGS]
135	141	3477	3483	7	7	100.00	Satellite-left	Satellite-right
142	150	140	148	9	9	100.00	Satellite-left	Satellite-right
142	148	298	304	7	7	100.00	Satellite-left	Satellite-right
142	148	541	547	7	7	100.00	Satellite-left	Satellite-right
144	150	1525	1531	7	7	100.00	Satellite-left	Satellite-right
144	152	2019	2027	9	9	100.00	Satellite-left	Satellite-right
144	150	3477	3483	7	7	100.00	Satellite-left	Satellite-right
145	151	1538	1544	7	7	100.00	Satellite-left	Satellite-right
145	151	1873	1879	7	7	100.00	Satellite-left	Satellite-right
145	151	2408	2414	7	7	100.00	Satellite-left	Satellite-right
145	152	2549	2556	8	8	100.00	Satellite-left	Satellite-right
145	152	2599	2606	8	8	100.00	Satellite-left	Satellite-right
145	151	2623	2629	7	7	100.00	Satellite-left	Satellite-right
145	151	2777	2783	7	7	100.00	Satellite-left	Satellite-right
145	151	3370	3376	7	7	100.00	Satellite-left	Satellite-right
145	151	3499	3505	7	7	100.00	Satellite-left	Satellite-right
145	152	3763	3770	8	8	100.00	Satellite-left	Satellite-right
145	151	3989	3995	7	7	100.00	Satellite-left	Satellite-right
148	154	568	574	7	7	100.00	Satellite-left	Satellite-right
149	155	4791	4797	7	7	100.00	Satellite-left	Satellite-right
154	160	4543	4549	7	7	100.00	Satellite-left	Satellite-right
154	160	4705	4711	7	7	100.00	Satellite-left	Satellite-right
157	163	4450	4456	7	7	100.00	Satellite-left	Satellite-right
165	172	992	999	8	8	100.00	Satellite-left	Satellite-right
165	171	1103	1109	7	7	100.00	Satellite-left	Satellite-right
165	171	4058	4064	7	7	100.00	Satellite-left	Satellite-right
179	186	2053	2060	8	8	100.00	Satellite-left	Satellite-right
180	186	3974	3980	7	7	100.00	Satellite-left	Satellite-right
181	187	926	932	7	7	100.00	Satellite-left	Satellite-right
183	190	2097	2104	8	8	100.00	Satellite-left	Satellite-right
190	196	3216	3222	7	7	100.00	Satellite-left	Satellite-right
198	204	2135	2141	7	7	100.00	Satellite-left	Satellite-right
198	205	3864	3871	8	8	100.00	Satellite-left	Satellite-right
199	205	2563	2569	7	7	100.00	Satellite-left	Satellite-right
209	215	3179	3185	7	7	100.00	Satellite-left	Satellite-right
213	219	3527	3533	7	7	100.00	Satellite-left	Satellite-right
230	236	3978	3984	7	7	100.00	Satellite-left	Satellite-right
230	236	4174	4180	7	7	100.00	Satellite-left	Satellite-right
232	238	528	534	7	7	100.00	Satellite-left	Satellite-right
232	238	2993	2999	7	7	100.00	Satellite-left	Satellite-right
236	242	238	244	7	7	100.00	Satellite-left	Satellite-right
237	244	2481	2488	8	8	100.00	Satellite-left	Satellite-right
239	247	742	750	9	9	100.00	Satellite-left	Satellite-right
244	251	1663	1670	8	8	100.00	Satellite-left	Satellite-right
268	274	4455	4461	7	7	100.00	Satellite-left	Satellite-right
269	275	179	185	7	7	100.00	Satellite-left	Satellite-right
269	276	188	195	8	8	100.00	Satellite-left	Satellite-right
269	276	1932	1939	8	8	100.00	Satellite-left	Satellite-right
270	278	3464	3472	9	9	100.00	Satellite-left	Satellite-right
271	278	2330	2337	8	8	100.00	Satellite-left	Satellite-right
271	277	2619	2625	7	7	100.00	Satellite-left	Satellite-right
271	278	4792	4799	8	8	100.00	Satellite-left	Satellite-right
278	284	448	454	7	7	100.00	Satellite-left	Satellite-right
308	318	3748	3758	11	11	100.00	Satellite-left	Satellite-right
311	317	2557	2563	7	7	100.00	Satellite-left	Satellite-right
312	319	229	236	8	8	100.00	Satellite-left	Satellite-right
315	321	2515	2521	7	7	100.00	Satellite-left	Satellite-right
315	322	2737	2744	8	8	100.00	Satellite-left	Satellite-right
315	322	3035	3042	8	8	100.00	Satellite-left	Satellite-right
315	321	3346	3352	7	7	100.00	Satellite-left	Satellite-right
316	324	1348	1356	9	9	100.00	Satellite-left	Satellite-right
317	323	1089	1095	7	7	100.00	Satellite-left	Satellite-right
317	323	2403	2409	7	7	100.00	Satellite-left	Satellite-right
317	323	4547	4553	7	7	100.00	Satellite-left	Satellite-right
320	327	3023	3030	8	8	100.00	Satellite-left	Satellite-right
324	330	1542	1548	7	7	100.00	Satellite-left	Satellite-right
329	335	2894	2900	7	7	100.00	Satellite-left	Satellite-right
329	335	3406	3412	7	7	100.00	Satellite-left	Satellite-right
338	344	3962	3968	7	7	100.00	Satellite-left	Satellite-right
342	348	238	244	7	7	100.00	Satellite-left	Satellite-right
343	350	2481	2488	8	8	100.00	Satellite-left	Satellite-right
345	351	1635	1641	7	7	100.00	Satellite-left	Satellite-right
352	359	2637	2644	8	8	100.00	Satellite-left	Satellite-right
352	359	3876	3883	8	8	100.00	Satellite-left	Satellite-right
357	364	4774	4781	8	8	100.00	Satellite-left	Satellite-right
360	366	3084	3090	7	7	100.00	Satellite-left	Satellite-right
365	371	899	905	7	7	100.00	Satellite-left	Satellite-right
365	371	1161	1167	7	7	100.00	Satellite-left	Satellite-right
371	377	992	998	7	7	100.00	Satellite-left	Satellite-right
371	378	1103	1110	8	8	100.00	Satellite-left	Satellite-right
371	377	4058	4064	7	7	100.00	Satellite-left	Satellite-right
377	383	2895	2901	7	7	100.00	Satellite-left	Satellite-right
377	384	3407	3414	8	8	100.00	Satellite-left	Satellite-right
386	392	4579	4585	7	7	100.00	Satellite-left	Satellite-right
410	416	1928	1934	7	7	100.00	Satellite-left	Satellite-right
413	421	3445	3453	9	9	100.00	Satellite-left	Satellite-right
414	420	1903	1909	7	7	100.00	Satellite-left	Satellite-right
421	429	4814	4822	9	9	100.00	Satellite-left	Satellite-right
422	428	777	783	7	7	100.00	Satellite-left	Satellite-right
426	432	2210	2216	7	7	100.00	Satellite-left	Satellite-right
426	432	3389	3395	7	7	100.00	Satellite-left	Satellite-right
428	434	2102	2108	7	7	100.00	Satellite-left	Satellite-right
454	460	814	820	7	7	100.00	Satellite-left	Satellite-right
464	470	204	210	7	7	100.00	Satellite-left	Satellite-right
471	479	566	574	9	9	100.00	Satellite-left	Satellite-right
471	478	4104	4111	8	8	100.00	Satellite-left	Satellite-right
472	478	210	216	7	7	100.00	Satellite-left	Satellite-right
484	492	3224	3232	9	9	100.00	Satellite-left	Satellite-right
491	497	3675	3681	7	7	100.00	Satellite-left	Satellite-right
492	498	880	886	7	7	100.00	Satellite-left	Satellite-right
494	500	560	566	7	7	100.00	Satellite-left	Satellite-right
510	517	1830	1837	8	8	100.00	Satellite-left	Satellite-right
513	519	2418	2424	7	7	100.00	Satellite-left	Satellite-right
513	519	3326	3332	7	7	100.00	Satellite-left	Satellite-right
516	522	1058	1064	7	7	100.00	Satellite-left	Satellite-right
516	522	3656	3662	7	7	100.00	Satellite-left	Satellite-right
525	532	4167	4174	8	8	100.00	Satellite-left	Satellite-right
526	532	45	51	7	7	100.00	Satellite-left	Satellite-right
526	532	4033	4039	7	7	100.00	Satellite-left	Satellite-right
537	543	1177	1183	7	7	100.00	Satellite-left	Satellite-right
537	543	2422	2428	7	7	100.00	Satellite-left	Satellite-right
539	545	308	314	7	7	100.00	Satellite-left	Satellite-right
539	545	3233	3239	7	7	100.00	Satellite-left	Satellite-right
546	552	146	152	7	7	100.00	Satellite-left	Satellite-right
549	556	4495	4502	8	8	100.00	Satellite-left	Satellite-right
569	575	2392	2398	7	7	100.00	Satellite-left	Satellite-right
579	585	815	821	7	7	100.00	Satellite-left	Satellite-right
587	594	1782	1789	8	8	100.00	Satellite-left	Satellite-right
588	594	3472	3478	7	7	100.00	Satellite-left	Satellite-right
589	595	350	356	7	7	100.00	Satellite-left	Satellite-right
603	609	20	26	7	7	100.00	Satellite-left	Satellite-right
608	614	4637	4643	7	7	100.00	Satellite-left	Satellite-right
612	618	1607	1613	7	7	100.00	Satellite-left	Satellite-right
645	651	2311	2317	7	7	100.00	Satellite-left	Satellite-right
651	658	521	528	8	8	100.00	Satellite-left	Satellite-right
663	669	792	798	7	7	100.00	Satellite-left	Satellite-right
718	724	4339	4345	7	7	100.00	Satellite-left	Satellite-right
755	761	2300	2306	7	7	100.00	Satellite-left	Satellite-right
757	764	1422	1429	8	8	100.00	Satellite-left	Satellite-right
758	765	22	29	8	8	100.00	Satellite-left	Satellite-right
760	766	1324	1330	7	7	100.00	Satellite-left	Satellite-right
761	767	1061	1067	7	7	100.00	Satellite-left	Satellite-right
772	778	157	163	7	7	100.00	Satellite-left	Satellite-right
781	787	3552	3558	7	7	100.00	Satellite-left	Satellite-right
784	792	3199	3207	9	9	100.00	Satellite-left	Satellite-right
797	803	2711	2717	7	7	100.00	Satellite-left	Satellite-right
804	810	3306	3312	7	7	100.00	Satellite-left	Satellite-right
819	826	2265	2272	8	8	100.00	Satellite-left	Satellite-right
823	829	3039	3045	7	7	100.00	Satellite-left	Satellite-right
842	848	2610	2616	7	7	100.00	Satellite-left	Satellite-right
843	849	1557	1563	7	7	100.00	Satellite-left	Satellite-right
843	849	3243	3249	7	7	100.00	Satellite-left	Satellite-right
844	852	847	855	9	9	100.00	Satellite-left	Satellite-right
844	850	3680	3686	7	7	100.00	Satellite-left	Satellite-right
866	874	633	641	9	9	100.00	Satellite-left	Satellite-right
866	873	2368	2375	8	8	100.00	Satellite-left	Satellite-right
866	872	3011	3017	7	7	100.00	Satellite-left	Satellite-right
866	873	3109	3116	8	8	100.00	Satellite-left	Satellite-right
867	873	1121	1127	7	7	100.00	Satellite-left	Satellite-right
868	874	3987	3993	7	7	100.00	Satellite-left	Satellite-right
869	875	4551	4557	7	7	100.00	Satellite-left	Satellite-right
869	875	4674	4680	7	7	100.00	Satellite-left	Satellite-right
878	884	1029	1035	7	7	100.00	Satellite-left	Satellite-right
880	888	1722	1730	9	9	100.00	Satellite-left	Satellite-right
887	894	3684	3691	8	8	100.00	Satellite-left	Satellite-right
897	903	4504	4510	7	7	100.00	Satellite-left	Satellite-right
899	907	316	324	9	9	100.00	Satellite-left	Satellite-right
914	920	1290	1296	7	7	100.00	Satellite-left	Satellite-right
923	929	3178	3184	7	7	100.00	Satellite-left	Satellite-right
924	930	661	667	7	7	100.00	Satellite-left	Satellite-right
925	931	1462	1468	7	7	100.00	Satellite-left	Satellite-right
936	942	4614	4620	7	7	100.00	Satellite-left	Satellite-right
936	942	4685	4691	7	7	100.00	Satellite-left	Satellite-right
937	943	4490	4496	7	7	100.00	Satellite-left	Satellite-right
938	944	884	890	7	7	100.00	Satellite-left	Satellite-right
958	964	4353	4359	7	7	100.00	Satellite-left	Satellite-right
960	966	4582	4588	7	7	100.00	Satellite-left	Satellite-right
961	968	3777	3784	8	8	100.00	Satellite-left	Satellite-right
964	972	4378	4386	9	9	100.00	Satellite-left	Satellite-right
965	971	2800	2806	7	7	100.00	Satellite-left	Satellite-right
977	983	331	337	7	7	100.00	Satellite-left	Satellite-right
994	1000	2112	2118	7	7	100.00	Satellite-left	Satellite-right
1001	1008	4784	4791	8	8	100.00	Satellite-left	Satellite-right
1005	1012	296	303	8	8	100.00	Satellite-left	Satellite-right
1006	1012	139	145	7	7	100.00	Satellite-left	Satellite-right
1006	1012	540	546	7	7	100.00	Satellite-left	Satellite-right
1009	1015	82	88	7	7	100.00	Satellite-left	Satellite-right
1029	1035	2801	2807	7	7	100.00	Satellite-left	Satellite-right
1036	1042	2803	2809	7	7	100.00	Satellite-left	Satellite-right
1038	1046	2538	2546	9	9	100.00	Satellite-left	Satellite-right
1041	1048	4062	4069	8	8	100.00	Satellite-left	Satellite-right
1045	1051	21	27	7	7	100.00	Satellite-left	Satellite-right
1046	1052	4303	4309	7	7	100.00	Satellite-left	Satellite-right
1053	1059	2073	2079	7	7	100.00	Satellite-left	Satellite-right
1054	1060	2032	2038	7	7	100.00	Satellite-left	Satellite-right
1054	1060	4758	4764	7	7	100.00	Satellite-left	Satellite-right
1095	1101	4514	4520	7	7	100.00	Satellite-left	Satellite-right
1109	1115	623	629	7	7	100.00	Satellite-left	Satellite-right
1109	1116	4394	4401	8	8	100.00	Satellite-left	Satellite-right
1110	1116	616	622	7	7	100.00	Satellite-left	Satellite-right
1156	1162	3131	3137	7	7	100.00	Satellite-left	Satellite-right
1157	1163	1122	1128	7	7	100.00	Satellite-left	Satellite-right
1158	1164	4261	4267	7	7	100.00	Satellite-left	Satellite-right
1172	1178	4631	4637	7	7	100.00	Satellite-left	Satellite-right
1174	1180	938	944	7	7	100.00	Satellite-left	Satellite-right
1177	1183	1168	1174	7	7	100.00	Satellite-left	Satellite-right
1181	1187	311	317	7	7	100.00	Satellite-left	Satellite-right
1182	1191	1983	1992	10	10	100.00	Satellite-left	Satellite-right
1194	1200	4512	4518	7	7	100.00	Satellite-left	Satellite-right
1218	1225	170	177	8	8	100.00	Satellite-left	Satellite-right
1218	1225	3260	3267	8	8	100.00	Satellite-left	Satellite-right
1224	1230	3563	3569	7	7	100.00	Satellite-left	Satellite-right
1224	1230	4121	4127	7	7	100.00	Satellite-left	Satellite-right
1238	1244	3042	3048	7	7	100.00	Satellite-left	Satellite-right
1244	1250	2175	2181	7	7	100.00	Satellite-left	Satellite-right
1254	1261	1005	1012	8	8	100.00	Satellite-left	Satellite-right
1262	1268	4115	4121	7	7	100.00	Satellite-left	Satellite-right
1265	1271	406	412	7	7	100.00	Satellite-left	Satellite-right
1265	1272	1178	1185	8	8	100.00	Satellite-left	Satellite-right
1270	1277	2580	2587	8	8	100.00	Satellite-left	Satellite-right
1271	1277	2966	2972	7	7	100.00	Satellite-left	Satellite-right
1275	1281	827	833	7	7	100.00	Satellite-left	Satellite-right
1285	1291	2940	2946	7	7	100.00	Satellite-left	Satellite-right
1286	1292	145	151	7	7	100.00	Satellite-left	Satellite-right
1286	1292	789	795	7	7	100.00	Satellite-left	Satellite-right
1300	1307	2213	2220	8	8	100.00	Satellite-left	Satellite-right
1301	1307	242	248	7	7	100.00	Satellite-left	Satellite-right
1310	1316	1516	1522	7	7	100.00	Satellite-left	Satellite-right
1310	1319	2791	2800	10	10	100.00	Satellite-left	Satellite-right
1313	1319	479	485	7	7	100.00	Satellite-left	Satellite-right
1313	1319	3642	3648	7	7	100.00	Satellite-left	Satellite-right
1315	1321	2641	2647	7	7	100.00	Satellite-left	Satellite-right
1334	1340	4634	4640	7	7	100.00	Satellite-left	Satellite-right
1337	1344	2013	2020	8	8	100.00	Satellite-left	Satellite-right
1341	1350	68	77	10	10	100.00	Satellite-left	Satellite-right
1341	1347	4573	4579	7	7	100.00	Satellite-left	Satellite-right
1343	1351	4742	4750	9	9	100.00	Satellite-left	Satellite-right
1346	1355	520	529	10	10	100.00	Satellite-left	Satellite-right
1351	1357	118	124	7	7	100.00	Satellite-left	Satellite-right
1351	1357	3568	3574	7	7	100.00	Satellite-left	Satellite-right
1351	1357	3790	3796	7	7	100.00	Satellite-left	Satellite-right
1368	1374	2076	2082	7	7	100.00	Satellite-left	Satellite-right
1372	1378	1373	1379	7	7	100.00	Satellite-left	Satellite-right
1372	1379	2667	2674	8	8	100.00	Satellite-left	Satellite-right
1376	1383	1099	1106	8	8	100.00	Satellite-left	Satellite-right
1376	1382	1632	1638	7	7	100.00	Satellite-left	Satellite-right
1377	1383	2594	2600	7	7	100.00	Satellite-left	Satellite-right
1377	1383	4055	4061	7	7	100.00	Satellite-left	Satellite-right
1378	1384	4026	4032	7	7	100.00	Satellite-left	Satellite-right
1393	1403	3979	3989	11	11	100.00	Satellite-left	Satellite-right
1393	1399	4175	4181	7	7	100.00	Satellite-left	Satellite-right
1394	1400	1139	1145	7	7	100.00	Satellite-left	Satellite-right
1394	1400	3788	3794	7	7	100.00	Satellite-left	Satellite-right
1395	1402	1543	1550	8	8	100.00	Satellite-left	Satellite-right
1397	1403	4724	4730	7	7	100.00	Satellite-left	Satellite-right
1414	1420	4307	4313	7	7	100.00	Satellite-left	Satellite-right
1430	1437	2316	2323	8	8	100.00	Satellite-left	Satellite-right
1448	1454	2129	2135	7	7	100.00	Satellite-left	Satellite-right
1451	1458	98	105	8	8	100.00	Satellite-left	Satellite-right
1452	1458	759	765	7	7	100.00	Satellite-left	Satellite-right
1453	1460	2320	2327	8	8	100.00	Satellite-left	Satellite-right
1454	1461	3842	3849	8	8	100.00	Satellite-left	Satellite-right
1456	1465	1447	1456	10	10	100.00	Satellite-left	Satellite-right
1456	1464	3031	3039	9	9	100.00	Satellite-left	Satellite-right
1457	1463	4190	4196	7	7	100.00	Satellite-left	Satellite-right
1458	1464	1173	1179	7	7	100.00	Satellite-left	Satellite-right
1458	1464	1284	1290	7	7	100.00	Satellite-left	Satellite-right
1458	1465	2961	2968	8	8	100.00	Satellite-left	Satellite-right
1458	1464	3344	3350	7	7	100.00	Satellite-left	Satellite-right
1458	1465	4152	4159	8	8	100.00	Satellite-left	Satellite-right
1459	1465	889	895	7	7	100.00	Satellite-left	Satellite-right
1459	1465	3907	3913	7	7	100.00	Satellite-left	Satellite-right
1460	1466	1440	1446	7	7	100.00	Satellite-left	Satellite-right
1461	1467	3961	3967	7	7	100.00	Satellite-left	Satellite-right
1471	1477	1665	1671	7	7	100.00	Satellite-left	Satellite-right
1491	1497	3221	3227	7	7	100.00	Satellite-left	Satellite-right
